post_id,caption,timestamp,mental_health,category,severity
BSKY_021,"When I did my degree 1976 to 1979 about two thirds of us with government school backgrounds passed and about two thirds with private school backgrounds failed, mostly in the first semester. The same happens today, private school students don't have enough resilience.",,Yes,Education,Medium
BSKY_022,i kinda failed more than half my classes this semester,,Yes,Education,Medium
BSKY_023,I was a lecturer at Harvard for six years and failed every single student in my classes every semester and they STILL fired me!,,Yes,Education,Medium
BSKY_024,"I survived the final day of the semester Absolutely failed one of my finals but it was a shitty class taught by a shithead who didn't actually teach anything Pretty sure everybody else failed it too, based on how people are talking about it",,Yes,Education,Medium
BSKY_025,"My friend and I made the observation that three years of intensive essay writing at GCSE and A Level had failed to make us good essay writers, but a single relaxed semester of university permanently fixed our writing",,Yes,Education,Medium
BSKY_026,"yep, this one time I broke my pinky on my leg and I couldn't walk for 4 weeks and barely could walk for 2 weeks... during my first semester... I was so behind I failed, then moved to a better uni where I study coding instead of electrical engineering, sometimes these things happen to help you!",,Yes,Education,High
BSKY_027,"My pre calc teacher advised me to drop the class, as I failed every assignment during the first week and had all ready taken the four math classes needed to get into a college program. I did so and spent my last semester of high school taking Drawing 3 4 and Photography 1 2",,Yes,Education,Medium
BSKY_028,so i just got in huge ass argument with my parents because i may have failed a class or two this past semester. so just fuck me i guess,,Yes,Education,Medium
BSKY_029,Gonna fail my thesis part of it was very bad suicidal depression and anxiety made worse cause the college woudnt make it so a class I took change for another that is on the program only for them to do it after 1 3 4 of a semester when I already failed,,Yes,Education,High
BSKY_030,Asking my professor to take an incomplete grade and then finish this course next semester so I don t fail what if I kms I ve never failed a class in my life if he says no I lose my scholarship,,Yes,Education,Medium
BSKY_031,"This feed is going to be my live thoughts out into the world! That is, mostly nonsense, self hatred, and shame. Related I'm pretty sure I have once again failed a semester of college for the simple reason that I did not exist for about 3 critical weeks. I've one last week to try and fix this!",,Yes,Education,Medium
BSKY_032,"By the time I realized that I had spiraled into a state of psychological numbness after going off my meds, I had already started to tank in school, and at the end of the semester I had failed two classes. This ultimately led to me having to take an extra year and graduate a year later. 3 4",,Yes,Education,Medium
BSKY_033,TFW two hours after the exam you realize you failed to spot an obvious issue. God that went poorly. On the other hand I felt the same way about my property exam last semester and got an A ?? So maybe it really is not about how the exam feels but about the curve.,,Yes,Education,Medium
BSKY_034,"Well... I havent posted in this one before... But my partner just failed his graduation project, so he has to pay 1400 to enroll a whole new semester to resubmit the same damn thing to get his degree. We do not have 1400. He's worked so fucking hard. cash.app wingisaway",,Yes,Education,Medium
BSKY_036,This is my last week this semester before finals and I m fucking exhausted How is this both my best and worst semester this far Like I actually like all my classes BUT ONE and I failed that one and have to retake it because I guess my art sucks,,Yes,Education,Medium
BSKY_037,"Had Sex Yes Had BF GF Yes Had Alcohol Yes Gone to the club I don't think any of my technicalities count Gotten detention I don't think so. Cheated on a test It's complicated. Failed a class For a semester, but not for a whole year. Smoked vaped Not nicotine. Snuck out of the house Yep",,Yes,Education,Medium
BSKY_038,"I am taking statistics on studypug over the summer so that I am prepared to take statistics in college in the fall semester. I wish I knew about this earlier. I failed my pre Calculus class because I wasn't prepared for it, I haven't done math in decades and remembered nothing from highschool.",,Yes,Education,Medium
BSKY_039,"At the end of every semester, students from my local art college scrap their failed projects. Then I raid the trash bins and put together an art book with that semester's refuse. He's a page from last semester's book, Hit the Bricks , 2025",,Yes,Education,Medium
BSKY_040,how on earth did i get a university of minnesota a school i attended for like one semester and failed out of and also had all my personal data stolen from email at my WORK email???,,Yes,Education,Medium
BSKY_041,"I remember during my first year of college i was so worried about my grade i would often stress myself out for nothing. In the end i started relaxing more about it and ironically i never failed a semester, was i the best student? No, but i still got my degree",,Yes,Education,Medium
BSKY_042,"is directly provable over and over again, and I have ALWAYS failed online classes because they are more strict on homework deadlines. And yet some online classes are REQUIRED for my degree. With all this evidence that I just need more time to complete the class than a typical semester...",,Yes,Education,Medium
BSKY_043,1. Going back to online college after a failed first attempt after I graduated high school. 2. My LC Instagram account reaching 4k. 3. Will be making through this semester around May 14th.,,Yes,Education,Medium
BSKY_044,"i failed my science exam , that was my last chance at ending the semester over a D",,Yes,Education,Medium
BSKY_046,I spent 2 nights staying here in fall 1987 with a former college friend who had transferred here. I had flown out to try to make amends with an ex girlfriend. I failed. I guess Hampshire College is caught up in my memories of that bittersweet trip to eastern Mass.,,Yes,Education,Medium
BSKY_047,"I knew how to use Excel and shit, but I holy shit did I have zero tolerance for that class and I damn near almost failed it. Thankfully I somehow managed to find my focus patience at the end of the semester my instructor allowed me to basically redo everything for full credit.",,Yes,Education,Medium
BSKY_048,My nightmares are usually that I ve enrolled in a course usually some type of math or science and failed to attend the entire semester usually because I forgot I was enrolled and then having to write the final exam. I m glad my 14 year old working fast food nightmares seem to have gone.,,Yes,Education,Medium
BSKY_049,Twas there as well. Failed my Con Law class bc of it! The professor laughed when I said oh fantastic I wanted a class w you again next semester anyway!,,Yes,Education,Medium
BSKY_050,That's how I feel!! Thinking back on my life how much easier a lot of things would of been if I could visualize in my brain. I bet I wouldn't of failed that semester of geometry 40yrs ago,,Yes,Education,Medium
BSKY_051,"it's just that i forget. i failed so badly that this is all there is to remind me oh, right through no fault of my own i was given a superb education. i studied poetry with four nobel laureates, all now dead. i was handed this. do i wish i made more than 3k semester? my god, i'd do it for free.",,Yes,Education,Medium
BSKY_052,"Goddamn we need a hard reset on this failed operating system. We are experiencing the blue screen of death here. Total system corruption and failure. Time for a new build. And my report, that I had a whole semester to do but I never started, is due tomorrow. Fuck!",,Yes,Education,Medium
BSKY_053,I have ones were I need to repeat subjects that I d failed in undergrad and it s my last semester,,Yes,Education,Medium
BSKY_054,"To give a brief run down of my problem last semester I took the sanlme claas and failed it. I only did up to that weeks reading, any disruption set me back and piled up, I also avoided reading the issues textbook in favour of online class materials. Which felt like fun minigames.",,Yes,Education,Medium
BSKY_055,Your question is the same as mine as I leave my career online teaching of basic writing having failed 14 14 last semester for consistently turning in work not their own.,,Yes,Education,Medium
BSKY_056,"brooo so real but they dont let you do a indv group ? for me only if the teacher allows it i tried to tank all my courses once but i failed terribly lmao having to meet new ppl in each course, every semester, ow, its like a gamble, and getting good or bad partners, it becomes veryyy tiring 1 3",,Yes,Education,Medium
BSKY_057,I m so jelly when I lived in japan I was in a shitty apt with paper thin walls. I thought I would eventually adapt but instead I slept in enough times that I missed my morning classes and failed my second semester lol,,Yes,Education,Medium
BSKY_059,"I failed one class last semester so Im retaking my masters level marketing class its online In person Im doing 2D art design, contemporary art appreciation and intro to psychology today s class I should be finishing my bachelor s in business management this semester.",,Yes,Education,Medium
BSKY_060,"I can't wait to be done with college LMAO The next semester could potentially be my last, provided I haven't failed anything in this semester lol",,Yes,Education,Medium
BSKY_061,I sometimes still get anxious about the semester I failed in college after my mom died. It's been 20 years. Memory and emotions are so weird.,,Yes,Education,Medium
BSKY_062,"For the past few weeks, I've had serious dips in my self confidence. If I'm good enough to be where I am, to have what I have. I failed my first semester of math in college pretty badly and it made me doubt whether I was supposed to be here. Today I got my first exam back and passed.",,Yes,Education,Medium
BSKY_063,I failed my English class and dropped below enough credit hours for the semester for my FAFSA. Just gotta stop trying atp.,,Yes,Education,Medium
BSKY_064,I had never failed a class in my life until Algebra II. Those fuckass letters showed up like an outside baby and ruined my damn semester.,,Yes,Education,Medium
BSKY_065,I have been a teacher for half my life at this point. I would love to stop having the dream where I failed to attend class all semester now please.,,Yes,Education,Medium
BSKY_066,remembering my first semester at uni i failed almost all of my classes because i kept getting wildly sick for over half of the semester w ' likely cause was me growing up in the countryside then being in a uni city with as many people on a campus as there were people spread out in my tiny ass town,,Yes,Education,Medium
BSKY_067,At this stage the consuls might be more here's my data than much else. I haven't finalised the dataset yet... had hoped to have it done by the start of semester but failed on that front I have a draft set that it turns out needs further verification with other sources only a few nations to go!,,Yes,Education,Medium
BSKY_068,"just got the grade for one of my last two exams in my last semester of uni... i actually had a pretty good feeling but turns out i barely got 50 and just passed. i was so close to it being joever... if i would have failed, i'd have to do one more year of uni",,Yes,Education,Medium
BSKY_069,"I still regularly have those dreams, had one just last night! The weird part is that I have partial lucidity in them, they're always about me having missed a class all semester because I didn't know my timetable, but then I think Why am I even worried about getting failed, I have a degree.",,Yes,Education,Medium
BSKY_071,"Yikes, I finally got all my uni exams done, and wow, I failed all my courses . I'll somehow need the make the professor give me two extra points on this one exam, otherwise, uni's over for me P. Even if I pass, I'd need to pass next semester without failing anything. This will be hard... .",,Yes,Education,Medium
BSKY_072,"So much this. I never had to study all through high school. I never learned how to study. I was able to get through the first year of college like this, but it went spectacularly downhill after that. I failed out. My last semester was F, F, F and an F incomplete...",,Yes,Education,Medium
BSKY_073,Can I get students to read... something?? In which I may be setting myself up for scheduling hell at the end of the semester and or a failed experiment in new ways to engage with my students... open.substack.com pub thinking...,,Yes,Education,Medium
BSKY_074,"im scared, today is the first day of semester 2... i dont remember anything from my three years of guitar class this will be my fourth one , i failed one english class out of two need both to graduate , i need to get my learners driving license, and im going into workplace",,Yes,Education,Medium
BSKY_075,"i also was part of student council one year, i did PSEO for a semester but failed and switched back to high school , and graduated with a 3.3 even after tanking my grades as an upperclassman. thing is, i didnt give a shit about any of those achievements. i was mostly in it to get out of my house",,Yes,Education,Medium
BSKY_076,"True story. Failed second semester. I had not figured out how to study for it or that I had ADHD. Took it again. Told my professor the first week of class that I would be earning an A that time and that when I did, he d be writing me a letter of recommendation for med school. I did. He agreed.",,Yes,Education,Medium
BSKY_077,"Jokes about anal aside, analytic geometry nearly did my bean in. The semester I took it, I had a wee small child that got very ill with pneumonia and my focus was there. I ended up retaking it not because I failed, but because I retained NOTHING despite passing.",,Yes,Education,Medium
BSKY_078,"Btw forgot to say that last week, I failed college not even finish my First Year Semester. So I am officially as a unemployment",,Yes,Education,Medium
BSKY_079,"And... I just failed my first student of the semester. The worst part? She probably has the best English in her class. There's this assignment they need to do. It's very easy to get 100 . However, if they complete less than 60 of it, they automatically fail the class, no possible appeal it's a",,Yes,Education,Medium
BSKY_080,"I teach computer science, and students starting programs at my department last semester have failed programming courses at a new, alarmingly high rate. I don t know if using AI is the explanation, but it s the only suggestion I have. It goes across programs with different profiles.",,Yes,Education,Medium
BSKY_081,didnt even realize how bullshit this was til now signed up for a class next semester that had previous class i took as a prerequisite but apparently i dont meet that prereq requirements because i failed the class??????? motherFFFFUCKER i still took the class though??? give me my goddamn class???,,Yes,Education,Medium
BSKY_082,"My licensing exam was over 2 days, 4hrs each day. Ironically, the only course I failed ethics and nsg concepts is the course I had when I was teaching. started off each semester showing my old transcripts to help break the ice",,Yes,Education,Medium
BSKY_083,"the first week of the semester has devoured my soul and yet somehow i still succeeded in getting absolutely nothing done! anyway here's an irritable xueba glaring at his younger brother shou curse. yes they are both 30 and still in high school, idk failed the gaokao a few times i guess theon1yone",,Yes,Education,Medium
BSKY_084,I almost failed my final semester of college cause of silksong lmao,,Yes,Education,Medium
BSKY_085,just found out i passed one of my classes i thought i failed... like legit i should not have passed i stopped going like a third into the semester i know that's a bad idea but i was dumb bro gave me an A for no reason and i was about to retake it too,,Yes,Education,Medium
BSKY_086,"I am anti James Cameron's Avatar which, I saw that that is the proper tag on porn galleries, fun fact ever since 2009 2010 when I failed my first class ever in high school because my stupid ass physics teacher spent an entire semester talking about it, instead of teaching.",,Yes,Education,Medium
BSKY_087,"I have to gush about my students real quick. Although some people failed their chem tests, everyone did such good work on their lab reports that no one in my final year chem course has to fail chemistry this semester. This includes a student who was struggling with dyslexia for 2 years...",,Yes,Education,Medium
BSKY_088,"I failed all my classes first semester and second Freshman year, including History of Rock n Roll.",,Yes,Education,Medium
BSKY_089,Will reflect about it later I tell the story as the semester I failed orgo not the summer both of my parents were diagnosed with cancer and had surgeries orrr the semester I worried about being orphaned and still managed to pass 3 of 4 classes,,Yes,Education,Medium
BSKY_090,I failed my whole second semester my freshman year in college. I was a Biology major at the time.,,Yes,Education,Medium
BSKY_091,had like my 5th meeting about services not being implemented meanwhile the semester ended while i was waiting for services to be implemented and i was failed for a class while i was waiting for responses to my emails and the director of whatever is saying but he didn t violate the syllabus,,Yes,Education,Medium
BSKY_092,"Hybrid is going swell for teaching, had two arrangements back to back in two different rooms, both failed in individual ways. Ended up running the lectures through my laptop s headset instead of in room equipment. Seems IT is having a !FUN! start into the semester. I hear that the issues in",,Yes,Education,Medium
BSKY_093,Mine isn't project related. I failed my first math midterm last semester and I really wanted to drop the class. My wife convinced me to stick with it cause I could still pass. So I did. I got a C in the class overall and I am really proud of myself for not quitting when things got hard.,,Yes,Education,Medium
BSKY_094,Every time I get my law school grades Whelp. Haven t failed out yet. Guess I can give it another semester.,,Yes,Education,Medium
BSKY_095,bruh my dad stressed me tf out yesterday by making me compute my potential gpa for the semester to the point i had a nightmare i failed one of my classes and had to retake it. wtf,,Yes,Education,Medium
BSKY_096,"Same here, Tom. I left at 62. One admin said to me proudly that the students in my grad course didn t even have to meet me. To your last point, I taught that graduate course for almost ten years and no one failed until it was placed online, then we had drops, no shows, and failures every semester.",,Yes,Education,Medium
BSKY_097,"I have a few other ones from my final semester as failed instead with big fat goose eggs wrecking my GPA after several semesters of being on the motherfucking Dean's List. Will there even be room to explain this shit when I try to get into law school? This is so fucked. Ugh, makes me mad.",,Yes,Education,Medium
BSKY_098,"Musk, the 'tech genius' who can't build a crystal radio set from a hobby store like Realistic and has failed his US amateur radio exams five times? Yeah, I failed twice too, I was a teenager. Now, I have a ham licence and have for over half my life. Musk wouldn't know how to wire up a car battery",,Yes,Education,Medium
BSKY_099,"i put an ave mujica quote in my masters thesis 65 at a moderately prestigious uni on nonlinear dispersive equations, why is nobody glazing me like they glaze yu deng... i then spent all of easter term having successive anxiety attacks and failed all six exams P",,Yes,Education,High
BSKY_101,I cut my parents off to protect myself and my children. Therapy helped me work through decades of abuse and neglect,,Yes,Social Status,High
BSKY_102,"There are plenty of good and valid reasons for the whole single party consent thing, but it's also extremely easy to abuse. It was useful to me when my first boyfriend's abusive far right parents were slandering me. I've seen people use it to expose their landlords doing illegal shit.",,Yes,Social Status,High
BSKY_103,Getting told how hard it was for them to take me to surgeries. How much of a burden it was is to feed me. You are my parents. Like what the actual fuck? I do not know what its like to have a parent that cares. I know what its like to have someone yell at me when I call them out for abuse.,,Yes,Social Status,High
BSKY_104,"But, since the shit in December, I just couldn't get myself to actually talk about much with my parents like that. Why bother? I learned that my parents will just close rank the moment either of them abuse me rather than actually doing any kind of meaningful accountability effort.",,Yes,Social Status,High
BSKY_105,"I had symptoms of cPTSD in elementary school because of anti effeminate abuse I'd get both at home and at school from my older sister. Said symptoms of cPTSD were then used as justification to abuse me further by teachers, parents, healthcare professionals, etc.",,Yes,Social Status,High
BSKY_106,"I didnt realize how bad the abuse was until I left and didn't have to constantly contend with the daily anxiety anymore. But life is rough because my parents never really taught me how to be a person. I dont know what youre supposed to do at parties, and i dont really know how to celebrate holidays",,Yes,Social Status,High
BSKY_107,Tw Abuse I lived in a super abusive enviornment from when I was born until I was 27. My parents didn't prepare me for adulthood or really teach me how to live as a human in general. At 27 I moved in with a stranger I'd met online less than a year before. I dont promote people doing this.,,Yes,Social Status,High
BSKY_108,My parents did love me. I'm sorry you were raised by child abusers. I'm here for you if there is anything I can do to help you recover from their abuse.,,Yes,Social Status,High
BSKY_109,"Y'all, my parents spent years telling me It's okay if you're gay, we'll love you if you're gay. So, yeah, to say the very least I endured a shitload of homophobic abuse as a kid.",,Yes,Social Status,High
BSKY_111,a parents job is to love a support the child they help create not beat them yes I was a victim of parent abuse my dad used to beat me until I got the guts to run away so if anyone is dealing with similar things you can talk to me I love you all,,Yes,Social Status,High
BSKY_112,I should have said to my parents growing up after spending all their money on designer clothing and asking for more after they went broke never did i do this but for pretend im calling CPS because this is abuse and you want me to go to school naked We live in idiocracy,,Yes,Social Status,High
BSKY_113,"Oh absolutely, years of abuse are excusable because you're mean too, and also I did the best I could, and also you should be thankful I don't beat you like my parents did to me",,Yes,Social Status,High
BSKY_114,"My parents only knew how to raise normal kids so because I was more emotional I got more abuse less understanding. It made me shy around people in the real world, closer to animals I was already close w . I have real big problems w authority forming good bonds with others as an adult.",,Yes,Social Status,High
BSKY_115,"i'm on the autism spectrum as well, i have not had your level of abuse, but i have had my moments where i feel like my parents just do not understand me, i had such a case recently. dad lecturing me about gaming too much and how it's ''worsening my autism'' and that i'll grow out of my autism",,Yes,Social Status,High
BSKY_116,"heroin that i don't think actually exists in the us anymore because of fentanyl being so cheap and readily available the drugs i preferred to abuse are gone alcohol was never tempting or fun for me because both my parents were alcoholics my mom drank wine and my dad liked harder stuff, jack",,Yes,Social Status,High
BSKY_117,not even neglect just emotional abuse. sometimes i hear my parents voices in complete slience and get scared. i can't do anything or feel anything good without having them in my head keeping me in a fear state actually.,,Yes,Social Status,High
BSKY_118,that partner after hear my story and seeing the receipts from the abuse clearly doesn t care as much about me as he does trying to please my parents.,,Yes,Social Status,High
BSKY_119,"You know how lucky I feel my parents just yelled at me and beat me? At least they weren't weirdos about their abuse, they kept it within the cultural norm. You know, clean your room, turn the music down, don't start fires, don't blow all the fuses in the apartment by shorting outlets, normal shit.",,Yes,Social Status,High
BSKY_120,"yeah, its only been in the last year or so that i realized all the shit my parents did to me was abuse and not just poor parenting",,Yes,Social Status,High
BSKY_121,I dealt with various forms abuse and neglect from my dad and mom in my early life that put me in survival mode almost immediately after I became cognizant. I learned very early on that I couldn t ever fully trust my parents. Every attempt to reconcile with either of them as an adult fails.,,Yes,Social Status,High
BSKY_122,"It was Se7en, when I was 16. My parents relentlessly sheltered me from everything except actual abuse. Some lovely friends of theirs took my sister and I because we were both teenagers that could drive and when they asked if we wanted to go, we said yes. Never saw them again. Still love them.",,Yes,Social Status,High
BSKY_123,"I hear adoptees tell horrific stories but then say but I know my adoptive parents loved me. But abuse is not love, neglecting your adopted child s needs is not love, lying to a child or not caring about their identity and family history is not love. abuseisnotlove",,Yes,Social Status,High
BSKY_124,"Once a shelter tried to force me to not only separate, but leave my caretaker to rot in almost freezing temps they only had one bed available . We had no working car. I wouldn t do it. And we begged their abusive step parents for help never again we were both subjected to abuse .",,Yes,Social Status,High
BSKY_125,My mom had substance abuse problems my dad got custody of me w the help of her parents. My half sister went to her parents because my dad hadn t adopted her yet. My mom was institutionalized for depression they gave her a hysterectomy against her permission w her parents ok. All in the 70s,,Yes,Social Status,High
BSKY_126,"TW Neglect, Domestic Abuse, Child Abuse, Suicide mention Speaking of my childhood. I often never spent much time at home... The few times I was ever home I was often neglected and never fed. It was often me fending for myself. I also hated being at home due to how often my parents fought...",,Yes,Social Status,High
BSKY_127,"okay yeah, i'm more confident now that yotsuyu, among all the women in stormblood, personifies a very specific fear of a woman's wrath, as a consequence of misogynistic violence and abuse",,Yes,Social Status,High
BSKY_128,"So I'm just gonna CW all of this for things like Burn victim Emotional abuse Toxic relationship Shitty parents Bad upbringings And then talk more below about whats been happening with me because last time I told no one what's happening and was self destructive, so this is my attempt to fix that",,Yes,Social Status,High
BSKY_129,Shoutout to my homophobic and transphobic parents. Them tryna demonize queer people just pushed me to make them the homies more lmaooo. Started with my sister hiding her queerness to avoid further abuse and my cousin getting basically exiled during their transition but I m going to war for everybody,,Yes,Social Status,High
BSKY_130,Each day the cruelty of the Right Republicans and the silence of the Left Democrats make me hate my once beloved country more and more We Americans Are The Children of Systemic Abuse By Both Parents!,,Yes,Social Status,High
BSKY_131,"share.google 5aOgAagyUB5n... My adoption abuse memoir, written not only for me, but for my 8 other adopted siblings, is now on Kindle. Our parents treated us like criminals, the state forgot us, and we grew up isolated and fearful. Read the truth of my life in Hell House, available now",,Yes,Social Status,High
BSKY_132,"I don't think my parents ever checked what I was reading, even books from the adult section at the library. I think because I was drawn to anything that was clearly fantasy they assumed it was safe. One of those books had a child sex abuse scene that made me uncomfortable so I stopped reading it",,Yes,Social Status,High
BSKY_133,"I m just kind of bewildered. I kind of feel sorry for teachers trying to teach basic subject to children when parents are sending them to school without basic manners or ability to behave in public. My parents weren t perfect, but they never would have let me just abuse strangers without apology.",,Yes,Social Status,High
BSKY_134,It s a hard word to use especially regarding your own parents. But reading Toxic Parents in my twenties plus therapy helped me to finally call it what it was abuse. Sending so much more love to you. I m so sorry for all you went through. For scars seen and unseen.,,Yes,Social Status,High
BSKY_135,"Ugh. Yeah, the way some parents think of the kids as game pieces It took me a long time to talk about, and still the word abuse didn t occur to me, until they started in on my niece and nephew.",,Yes,Social Status,High
BSKY_136,I have always lived with tw abuse Stockholm Syndrome because both my parents verbally and physically hurt and abuse me even up to now. Even my own mother threatens me to leave on my own and tells me to go to the bus station to go to the province and live there for good.,,Yes,Social Status,High
BSKY_137,"They sound like wonderful parents. My mum was a feminist from the 50's she taught me the fundamentals didn't keep to them. I miss her, her acceptance of abuse still irks me. She did raise me in a weird betwixt of fierce feminist acceptance of abuse. It was love vs status quo, fuck the status quo",,Yes,Social Status,High
BSKY_138,You know why the abuse of staycation really gets to me? It's the implication that a holiday in the UK isn't a real holiday. The implication that my parents never took my siblings and me on holiday growing up.,,Yes,Social Status,High
BSKY_139,"SA Parental Abuse I feel. awkward trying, because i want to let myself have that. i spent my preteen and early teen years coming to terms with being beat by my parents and molested groomed i want to experience some of the things i used to do without all of that looming over me yknow",,Yes,Social Status,High
BSKY_140,TW abuse Abusers are fun like that. It takes everything within me to not scream at my family on why I cant talk with my parents. Or how I cant be in dnd groups cause my ex is still in them.,,Yes,Social Status,High
BSKY_141,"Ourghhh I hate how my parents constantly try to convince me to move back home. You'll have a support system here Maybe, but I have a support system where I am now, one that doesn't undermine me, or emotionally abuse me when they're a little drunk or a little upset. I exist here too.",,Yes,Social Status,High
BSKY_142,Disagreement is abuse I had emotionally abusive parents and haven't done the hard work of recovering from it and so subject everyone around me to my mother's vitriol and emotional distemperance as her conduit,,Yes,Social Status,High
BSKY_143,"I didn't realize my parents were emotionally neglectful until I was 24. I knew they had hurt me but I didn't know it was abuse and I didn't want to call it that. I am currently 24. And it was only because of older, wiser fellow survivors that I realized the true extent of it.",,Yes,Social Status,High
BSKY_144,"My parents would never let me financially abuse them. They have money I don t, they re wealth hoarders who made boundaries clear on what they ll give. But I see parents get taken advantage of by grown kids, who take from what they need to live, mooching off them blowing their money recklessly.",,Yes,Social Status,High
BSKY_145,"I used to be forced to watch Family Guy a show that Glorifies Abuse, with my Family. Until i was about 16 and realized my parents would let me leave Mandatory Family Time if I started asking them why it was funny when characters abused meg? Why is it okay for them to treat her that way?? 4",,Yes,Social Status,High
BSKY_146,"The Circle of Magic quartet opens with 3 kids being orphaned and a 4th who wishes her parents were dead. There's abuse, slavery, and racism right there from the first chapter, and it's one of my favorite MG series. Darkness works for the genre. and don't get me started on Animorphs .",,Yes,Social Status,High
BSKY_147,The boy in the suit on the right looks like he's thinking Please God may I die because I'm so bored and when will the smelly old man with the full adult diaper shut up! Why are my parents even voting for this old man because he sounds like he's insane to me and I'm 6 and a half! CHILD ABUSE!,,Yes,Social Status,High
BSKY_148,weird thing is that the psychological abuse my parents did to me destroyed so much of my ego that i have never had much interest in american exceptionalism imperialism. i went from capitalist nihilism to being a D1 capitalism hater instead of whatever weird stuff other UE leftists wanna argue about,,Yes,Social Status,High
BSKY_149,In about 3 hours I'm gonna hafta explain to a judge that my neighbors are harassing me because I threatened to report a pair of dysfunctional parents to the state for child abuse,,Yes,Social Status,High
BSKY_150,saw someone joke mizuyang has a problematic lore gap bc mizuki's story revolves around his trauma from the death of his parents abuse he faced from his adoptive mother the journey he has to take to heal from those wounds. then wuyang is like Ugh my parents are mad at me for going to med school,,Yes,Social Status,High
BSKY_151,"Ever since having my kid, I have much less forgiveness for my parents. They clearly didn't LIKE having children. Even when my kid frustrates me, I would never treat him the way my parents treated me. Just layers of abuse from good parents.",,Yes,Social Status,High
BSKY_152,Very much so. My older brother resents that my parents had more money when I was born. Although they were frugal with all of us. I always told him that money didn t save me from abuse. Also I needed presence emotional presence. So material things weren t what I needed.,,Yes,Social Status,High
BSKY_153,"Recently I've been coming to terms with all of this and I've concluded that yeah Everyone in my life failed me, my parents failed me, everyone at school everyone was complacent in the abuse and trauma I was dealt Guys I was so fucking close to death so many times you don't understand",,Yes,Social Status,High
